timestamp,price,sma,vol,signal
1779095820000,76874.00000000,76852.30000000,24.08044850,Hold
1779095880000,76855.00000000,76856.76000000,22.01368665,Hold
1779095940000,76860.20000000,76864.78000000,12.40393486,Hold
1779096000000,76856.20000000,76865.88000000,11.30139814,Hold
1779096060000,76896.90000000,76868.46000000,15.74313819,Buy
1779096120000,76891.00000000,76871.86000000,18.21423619,Buy
1779096180000,76891.00000000,76879.06000000,17.21436609,Hold
1779096240000,76896.90000000,76886.40000000,15.32879643,Hold
1779096300000,76871.90000000,76889.54000000,9.20621529,Sell
1779096360000,76871.10000000,76884.38000000,10.73785826,Sell
1779096420000,76850.10000000,76876.20000000,16.57250735,Sell
1779096480000,76889.20000000,76875.84000000,16.26377570,Hold
1779096540000,76895.00000000,76875.46000000,15.78234457,Buy
1779096600000,76860.40000000,76873.16000000,16.92980803,Hold
1779096660000,76843.70000000,76867.68000000,20.71998069,Sell
1779096720000,76844.10000000,76866.48000000,21.84650086,Sell
1779096780000,76828.20000000,76854.28000000,22.76535965,Sell
1779096840000,76876.40000000,76850.56000000,16.45169900,Buy
1779096900000,76900.00000000,76858.48000000,26.02747779,Buy
1779096960000,76934.20000000,76876.58000000,38.11605436,Buy
1779097020000,76911.60000000,76890.08000000,36.12303420,Hold
1779097080000,76916.80000000,76907.80000000,19.17915535,Hold
1779097140000,76907.60000000,76914.04000000,11.47686368,Hold
1779097200000,76900.10000000,76914.06000000,11.45244079,Sell
1779097260000,76908.70000000,76908.96000000,5.45622580,Hold
1779097320000,76895.60000000,76905.76000000,7.33719292,Sell
1779097380000,76865.80000000,76895.56000000,15.64539549,Sell
1779097440000,76862.60000000,76886.56000000,18.76321934,Sell
1779097500000,76859.20000000,76878.38000000,19.95478890,Hold
1779097560000,76908.80000000,76878.40000000,19.98519452,Buy
1779097620000,76901.90000000,76879.66000000,21.19203624,Buy
1779097680000,76883.50000000,76883.20000000,20.02748112,Hold
1779097740000,76880.60000000,76886.80000000,17.45336644,Hold
1779097800000,76914.20000000,76897.80000000,13.46922418,Buy
1779097860000,76892.20000000,76894.48000000,12.34785811,Hold
1779097920000,76852.10000000,76884.52000000,20.03670632,Sell
1779097980000,76845.70000000,76876.96000000,25.40681798,Sell
1779098040000,76835.70000000,76867.98000000,30.04485979,Sell
1779098100000,76857.90000000,76856.72000000,19.20858142,Hold
1779098160000,76865.50000000,76851.38000000,10.20321518,Buy
1779098220000,76844.10000000,76849.78000000,10.58497048,Hold
1779098280000,76855.00000000,76851.64000000,10.52152080,Hold
1779098340000,76848.60000000,76854.22000000,7.42142843,Hold
1779098400000,76848.30000000,76852.30000000,7.46270728,Hold
1779098460000,76848.80000000,76848.96000000,3.48402067,Hold
1779098520000,76844.10000000,76848.96000000,3.48402067,Sell
1779098580000,76842.10000000,76846.38000000,2.75637443,Sell
1779098640000,76782.50000000,76833.16000000,25.45534129,Sell
1779098700000,76774.20000000,76818.34000000,32.82916996,Sell
1779098760000,76762.50000000,76801.08000000,34.89850427,Sell
1779098820000,76752.50000000,76782.76000000,31.37104397,Hold
1779098880000,76758.20000000,76765.98000000,10.90713528,Hold
1779098940000,76763.50000000,76762.18000000,7.15357253,Hold
1779099000000,76773.60000000,76762.06000000,6.95315756,Buy
1779099060000,76750.40000000,76759.64000000,8.34520221,Sell
1779099120000,76707.20000000,76750.58000000,22.96418080,Sell
1779099180000,76719.80000000,76742.90000000,25.42125095,Hold
1779099240000,76704.40000000,76731.08000000,26.79749242,Hold
1779099300000,76680.40000000,76712.44000000,22.86391043,Sell
1779099360000,76690.80000000,76700.52000000,13.64322543,Hold
1779099420000,76661.70000000,76691.42000000,19.89476313,Sell
1779099480000,76671.80000000,76681.82000000,14.81707124,Hold
1779099540000,76686.00000000,76678.14000000,10.36949372,Hold
1779099600000,76688.90000000,76679.84000000,11.25923621,Hold
1779099660000,76650.10000000,76671.70000000,14.60753230,Sell
1779099720000,76653.50000000,76670.06000000,16.02929818,Sell
1779099780000,76707.50000000,76677.20000000,22.03869325,Buy
1779099840000,76693.30000000,76678.66000000,22.80189466,Hold
1779099900000,76711.60000000,76683.20000000,26.36952787,Buy
1779099960000,76749.90000000,76703.16000000,31.10637234,Buy
1779100020000,76737.30000000,76719.92000000,20.65414244,Hold
1779100080000,76723.40000000,76723.10000000,19.69903551,Hold
1779100140000,76736.50000000,76731.74000000,13.10367887,Hold
1779100200000,76771.50000000,76743.72000000,16.22447534,Buy
1779100260000,76776.80000000,76749.10000000,21.10706043,Buy
1779100320000,76766.30000000,76754.90000000,21.05203078,Hold
1779100380000,76750.00000000,76760.22000000,14.87405795,Hold
1779100440000,76738.30000000,76760.58000000,14.30655794,Sell
1779100500000,76700.00000000,76746.28000000,26.65193426,Sell
1779100560000,76712.40000000,76733.40000000,24.24268962,Hold
1779100620000,76748.00000000,76729.74000000,20.01155666,Hold
1779100680000,76766.30000000,76733.00000000,23.98057547,Buy
1779100740000,76744.50000000,76734.24000000,24.37954881,Hold
1779100800000,76744.60000000,76743.16000000,17.37200046,Hold
1779100860000,76750.30000000,76750.74000000,8.08024752,Hold
1779100920000,76720.60000000,76745.26000000,14.67795626,Sell
1779100980000,76728.60000000,76737.72000000,11.20560574,Hold
1779101040000,76731.10000000,76735.04000000,10.86068138,Hold
1779101100000,76772.10000000,76740.54000000,18.55032075,Buy
1779101160000,76788.70000000,76748.22000000,27.01772751,Buy
1779101220000,76818.20000000,76767.74000000,34.28985856,Buy
